46.5470, 64.9637, 0
96.0748, 613.0000, 0
109.0678, 65.4985, 0
183.5433, 52.4606, 0
197.5470, 345.9637, 0
208.5433, 326.4606, 0
210.5470, 384.9637, 0
220.5470, 363.9637, 0
221.0748, 339.0000, 0
231.0678, 311.4985, 0
238.5470, 346.9637, 0
245.5470, 375.9637, 0
245.5470, 333.9637, 0
251.0748, 314.0000, 0
255.0748, 613.0000, 0
258.0678, 351.4985, 0
263.0748, 364.0000, 0
270.5433, 52.4606, 0
282.5470, 377.9637, 0
282.5433, 336.4606, 0
325.5470, 601.9637, 0
345.0678, 52.4985, 0
446.5470, 612.9637, 0
447.0748, 40.0000, 0
543.0678, 139.4985, 0
569.0748, 65.0000, 0
576.0748, 513.0000, 0
585.5433, 231.4606, 0
604.0748, 403.0000, 0
619.0678, 127.4985, 0
